Task,Name,Result,Engine,Bound,Time,Note
"<embedded>","fetch_request_eventually","cex","C","1","0.001 s",""
"<embedded>","fetch_if_valid","covered","PRE","1","0.000 s",""
"<embedded>","icache_request_fire","proven","PRE","Infinite","0.000 s",""
"<embedded>","fetch_if_valid_when_rsp_valid","proven","PRE","Infinite","0.000 s",""
"<embedded>","complete_fetch_cycle","covered","B","4","0.001 s",""
"<embedded>","icache_req_fire","covered","PRE","1","0.000 s",""
"<embedded>","schedule_if_PC_nonzero","cex","C","1","0.001 s",""
"<embedded>","schedule_if_PC_zero","covered","C","1","0.001 s",""
"<embedded>","schedule_if_valid_eventually","temporary","?","","0.000 s",""
